Temperature [keV] 	DT(1) 	DD(2ii) 	DHe3(3) 	TT(4) 	THe3(6)
1 	5.5e-21 	1.5e-22 	1.0e-26 	3.3e-22 	1.0e-28
2 	2.6e-19 	5.4e-21 	1.4e-23 	7.1e-21 	1.0e-25
5 	1.3e-17 	1.8e-19 	6.7e-21 	1.4e-19 	2.1e-22
10 	1.1e-16 	1.2e-18 	2.3e-19 	7.2e-19 	1.2e-20
20 	4.2e-16 	5.2e-18 	3.8e-18 	2.5e-18 	2.6e-19
50 	8.7e-16 	2.1e-17 	5.4e-17 	8.7e-18 	5.3e-18
100 	8.5e-16 	4.5e-17 	1.6e-16 	1.9e-17 	2.7e-17
200 	6.3e-16 	8.8e-17 	2.4e-16 	4.2e-17 	9.2e-17
500 	3.7e-16 	1.8e-16 	2.3e-16 	8.4e-17 	2.9e-16
1000 	2.7e-16 	2.2e-16 	1.8e-16 	8.0e-17 	5.2e-16 